"Angus Bacon&Cheese",5.35,Burger
"Angus Deluxe",5.75,Burger
"Angus Mushroom&Swiss",5.89,Burger
"Big Mac",3.79,Burger
"Quarter Pounder with Cheese",2.79,Burger
"Double Quarter Pounder with Cheese",5.15,Burger
"Hamburger",0.99,Burger
"Cheeseburger",1.39,Burger
"Double Cheeseburger",1.79,Burger
"McDouble",1.89,Burger
"Filet-O-Fish",2.35,Burger
"Southern Style Cripsy Chicken Sandwich",3.15,Sandwich
"Big N' Tasty",3.45,Burger
"Big N' Tasty With Cheese",3.65,Burger
"McChicken",3.25,Burger
"McRib",4.15,Burger
"Small Soda",1.15,Drink
"Medium Soda",1.55,Drink
"Large Soda",2.35,Drink
