Honey Nut Cheerios,4.50,Cereal
Trix (round),5.00,Cereal
Trix (fruit shapes),10.50,Cereal
Lucky Charms,5.00,Cereal
Count Chocula,6.50,Cereal
Special K Red Berries,3.25,Cereal
Cocoa Krispies,4.25,Cereal
Rice Krispies,2.75,Cereal
Frosted Mini Wheats,5.50,Cereal
Frosted Flakes,5.75,Cereal
Frosted Cheerios,2.75,Cereal
Choco Frosted Sugar Bombs,8.75,Cereal
Kix,1.25,Cereal
Captain Crunch ,6.25,Cereal
Captain Crunch Berries,6.75,Cereal
Captain Crunch Peanut Butter,7.25,Cereal
Cheerios,5.25,Cereal
Cinnamon Toast Crunch,7.25,Cereal
French Toast Crunch,8.50,Cereal
Cracklin' Oat Bran,2.75,Cereal
Whole Milk,3.50,Milk
2% Milk,3.75,Milk
1% Milk,4.00,Milk
Fat-Free Milk,4.25,Milk
Powdered Milk,3.75,Milk
Condensed Milk,3.50,Milk
Silk Almond Milk,5.25,Milk
Soy Milk,5.75,Milk
Chocolate Milk,6.25,Milk
Goat Milk,6.50,Milk
Lizard Milk,10.25,Milk
Make it Jumbo,2.50,Size
